german_noun,gender,translation,level
Leib,der,body,
Leiche,die,"corpse, dead body",
Leid,das,"sorrow, grief, suffering, harm",
Leidenschaft,die,passion,
Leistung,die,"performance, achievement, power, service, output",B1
Leistungsfähigkeit,die,"performance, efficiency, productivity, power",
Leiter,der,"leader, head, conductor, manager, director",B1
Leiter,die,ladder,B1
Leitung,die,"management, leadership, pipe, cable, line",B1
Leitungswasser,das,tap water,
Lektion,die,lesson,
Lenkrad,das,steering wheel,
Lerner,der,learner,B1
Leser,der,reader,B1
Leute,die,"people, folk(s)",A1
Lexikon,das,"encyclopedia, lexicon",B1
Licht,das,light,A1
Liebe,die,love,B1
Liebling,der,"favourite, favorite, darling, honey, sweetheart",
Lied,das,song,A1
Lieferant,der,supplier,
Lieferung,die,"delivery, supply",B1
Lift,der,"lift, elevator",B1
Liga,die,league,
Limit,das,limit,
Limonade,die,lemonade,B1
Linie,die,line,B1
Link,der,link,A2
Linse,die,"lens, lentil",
Lippe,die,lip,B1
Lippenstift,der,lipstick,
Liste,die,list,B1
Liter,der,"litre, liter",A1
Literatur,die,literature,B1
Loch,das,hole,B1
Locke,die,curl,
Löffel,der,"spoon, spoonful",A2
Lohn,der,"wage, pay, reward",B1
Lokal,das,"bar, pub, restaurant",A1
Los,das,"lot, (lottery) ticket",
Lösung,die,solution,A1
Lotto,das,"lottery, lotto",
Löwe,der,"lion, Leo",B1
Lücke,die,gap,
Luft,die,air,B1
Lüge,die,lie,A2
Lunge,die,lung,
Lust,die,"desire, pleasure",A2
Luxus,der,luxury,
Macht,die,"power, strength, might, force",
Mädchen,das,girl,A1
Magazin,das,"magazine, journal, storeroom, stockroom",B1
Magen,der,stomach,A2
Mahlzeit,die,meal,B1
Mahnung,die,"reminder, warning, admonition",B1
Mai,der,May,A1
Mailbox,die,"mailbox, voicemail",A2
Mal,das,time,A2
Maler,der,"painter, artist",B1
Malerei,die,painting,
Mama,die,"mum, mummy, mamma",
Management,das,management,
Manager,der,manager,
Mangel,der,"lack, shortage, defect, deficiency, absence",B1
Mann,der,"man, husband",A1
Mannschaft,die,"crew, team",A1
Mantel,der,"coat, cloak",A2
Mappe,die,"folder, portfolio, briefcase, file",B1
Marathon,der,marathon,
Märchen,das,"fairy story, fairy tale, tale",B1
Margarine,die,"margarine, marge",B1
Mark,die,mark (former German currency),
Marke,die,"brand, stamp",B1
Marketing,das,marketing,
Markt,der,"market, marketplace, mart",A2
Marmelade,die,"jam, jelly, marmalade",B1
März,der,March,A1
Maschine,die,"machine, machinery",A1
Maske,die,mask,
Maß,das,"measure, degree, dimension",
Massage,die,massage,
Masse,die,"mass, crowd",
Maßnahme,die,measure,
Maßstab,der,"scale, yardstick, standard, benchmark",
Material,das,"material, substance",B1
Materie,die,"matter, material, substance, subject matter",
Mathematik,die,"mathematics, maths",A2
Mauer,die,wall,B1
Maus,die,mouse,B1
Mauszeiger,der,cursor,
Mayonnaise,die,"mayonnaise, mayo",
Mechaniker,der,mechanic,A2
Medaille,die,medal,
Medien,die,media,B1
Medikament,das,"medicine, medication, drug",A2
Meditation,die,meditation,
Medium,das,medium,
Medizin,die,medicine,B1
Meer,das,"sea, ocean",A1
Mehl,das,"flour, meal, powder",B1
Mehrheit,die,majority,B1
Mehrwertsteuer,die,"VAT, value added tax",B1
Meinung,die,"opinion, view, mind",A2
Meister,der,"master, champion, foreman",B1
Meldung,die,"report, message, notification, announcement",B1
Melone,die,"melon, bowler (hat)",
Menge,die,"quantity, amount",A2
Mensa,die,"student canteen, refectory",B1
Mensch,der,"human, human being, person, man",A1
Menschenrecht,das,human right,
Menschheit,die,"humanity, mankind",
Menü,das,"menu, set menu, set meal",B1
Merkmal,das,"feature, characteristic",
Messe,die,"trade fair, mass",A2
Messer,das,knife,A2
Messung,die,"measuring, measurement",
Metall,das,metal,B1
Meter,der,"meter, metre",A1
Methode,die,method,B1
Metropole,die,metropolis,B1
Metzger,der,butcher,B1
Miete,die,rent,A1
Mieter,der,"tenant, lessee, renter",B1
Migrant,der,migrant,B1
Migration,die,migration,B1
Mikrofon,das,microphone,
Milch,die,milk,A1
Milchprodukt,das,"milk product, dairy product",
Militär,das,military,
"Milliarde, Mrd.",die,billion,A1
Milligramm,das,milligram,
"Millimeter, mm",der,"millimetre, millimeter",
"Million, Mio.",die,million,A1
Minderheit,die,minority,B1
Mindestlohn,der,minimum wage,
Mineralwasser,das,mineral water,A2
Minister,der,minister,
Ministerium,das,"ministry, department",
Minute,die,minute,A1
Mischung,die,"mixture, blend",
Missbrauch,der,"abuse, misuse",
Misserfolg,der,"failure, flop",B1
Mission,die,mission,
Misstrauen,das,"mistrust, distrust, suspicion",B1
Missverständnis,das,"misunderstanding, misconception, misapprehension",
Mitarbeiter,der,"employee, co-worker, staff member",A2
Mitgefühl,das,"sympathy, compassion, empathy",
Mitglied,das,member,B1
Mithilfe,die,"help, assistance",
Mitleid,das,"pity, sympathy, compassion",
Mittag,der,"noon, midday, lunch",A1
Mittagessen,das,lunch,A2
Mitte,die,"middle, centre",A1
Mitteilung,die,"communication, message, notice, note, announcement",
Mittel,das,"means, remedy, resource, agent, way",A2
Mittelalter,das,"Middle Ages, medieval times",
Mittelmeer,das,Mediterranean (Sea),
Mittelpunkt,der,"midpoint, focus, center, centre of focus",
Mitternacht,die,midnight,A2
Mittwoch,der,Wednesday,A1
Möbel,das,furniture,A1
Mobilität,die,mobility,B1
Mobiltelefon,das,"mobile phone, cell(ular) phone",A2
Mode,die,"fashion, style",A2
Model,das,model,A2
Modell,das,model,B1
Moderator,der,"moderator, presenter, host",B1
Moderne,die,"modern age, modernity",
Modul,das,module,B1
Modus,der,"mode, mood (grammatical), modus, way",
Möglichkeit,die,"possibility, opportunity, way, option, chance",B1
Möhre,die,carrot,B1
Moment,der,moment,A1
Monat,der,month,A1
Mond,der,moon,B1
Monitor,der,monitor,B1
Monster,das,monster,
Montag,der,Monday,A1
Mord,der,"murder, homicide, killing",
Mörder,der,"murderer, killer, slayer, assassin",
Morgen,der,morning,A1
Motiv,das,"motive, motif, subject, reason",
Motivation,die,motivation,
Motor,der,"motor, engine",A2
Motorrad,das,"motorcycle, motorbike",B1
Motorroller,der,(motor) scooter,A2
Motto,das,motto,
Mücke,die,"mosquito, midge, gnat",B1
Müdigkeit,die,tiredness,
Mühe,die,"effort, trouble, difficulty, toil",B1
Müll,der,"waste, garbage, trash, rubbish, litter",A2
Müllabfuhr,die,"garbage collection, garbage disposal, refuse collection",B1
Müllmann,der,"dustman, garbage man",
Mülltonne,die,"dustbin, garbage can",B1
München,das,Munich,
Mund,der,mouth,A1
Münze,die,coin,B1
Museum,das,museum,A2
Musik,die,music,A2
Musiker,der,musician,A2
Musikrichtung,die,music genre,
Muskel,der,muscle,B1
Müsli,das,"muesli, cereals",B1
Muslim,der,Muslim,
Muster,das,"pattern, sample, model",
Mut,der,courage,B1
Mutter,die,mother,A1
Muttersprache,die,"mother tongue, native language, first language",B1
Mütze,die,"cap, hat",A2
Mythos,der,"myth, legend",
Nachbar,der,"neighbour, neighbor",A2
Nachbarin,die,"neighbour (female), neighbor (female)",A2
Nachbarschaft,die,"neighbourhood, neighborhood, vicinity",
Nachfolge,die,succession,
Nachfolger,der,successor,
Nachfrage,die,demand,B1
Nachhilfe,die,"private tuition, tutoring, coaching",B1
Nachmittag,der,afternoon,A1
Nachname,der,"surname, family name, last name",
Nachricht,die,"news, message",A2
Nachsorge,die,aftercare,
Nachspeise,die,dessert,B1
Nacht,die,night,A1
Nachteil,der,disadvantage,B1
Nachtisch,der,"dessert, pudding",
Nachweis,der,"proof, evidence, certificate",
Nachwuchs,der,"offspring, new generation, young talent",B1
Nacken,der,neck,
Nadel,die,needle,B1
Nagel,der,nail,B1
Nähe,die,"vicinity, proximity, closeness",A2
Nahrung,die,"nourishment, food, diet",
Nahrungsmittel,das,food,B1
Name,der,name,A1
Narbe,die,scar,
Nase,die,nose,B1
Nation,die,nation,
Nationalfeiertag,der,national holiday,B1
Nationalsozialismus,der,National Socialism,
Natur,die,nature,A2
Naturwissenschaft,die,natural science,
Navigationssystem,das,navigation system,
Nebel,der,"fog, mist, haze",B1
Nebenwirkung,die,"side effect, adverse reaction",
Neffe,der,nephew,B1
Neid,der,envy,
Neigung,die,"inclination, slope, tendency, tilt, propensity",
Nein,das,no,
Nerv,der,nerve,B1
Netz,das,"net, network, web, mesh",B1
Netzwerk,das,network,B1
Neuigkeit,die,news,B1
Neujahr,das,New Year('s Day),A2
Newsletter,der,newsletter,
Nichte,die,niece,B1
Nichtraucher,der,non-smoker,B1
Niederlage,die,defeat,
Niederlande,die,Netherlands,
Niederschlag,der,"precipitation, rainfall",
Niveau,das,"level, standard",
Norden,der,north,A1
Nordsee,die,the North Sea,B1
Norm,die,"norm, standard",
Norwegen,das,Norway,
Not,die,"need, distress, trouble, hardship",
Notar,der,notary,
Notaufnahme,die,"emergency department, emergency room",B1
Notausgang,der,emergency exit,B1
Note,die,"note, grade, mark",A2
Notfall,der,emergency,B1
Notiz,die,"note, memo(randum), notice",A2
Notruf,der,emergency call,B1
Notrufnummer,die,emergency number,
Notwendigkeit,die,"necessity, need",
November,der,November,A1
Nudel,die,"noodle, pasta",A2
Null,die,zero,
Nummer,die,number,A1
Nuss,die,nut,
Nutzen,der,"benefit, profit, use",
Nutzer,der,user,
Nutzung,die,use,
Ober,der,waiter,B1
Oberfläche,die,surface,
Oberteil,das,"top, top part",
Objekt,das,"object, property, subject",
Obst,das,fruit,A1
Ofen,der,"oven, furnace, stove",B1
Öffentlichkeit,die,public,B1
Offizier,der,officer,
Öffnung,die,"opening, hole, aperture",
Ohr,das,ear,A2
Ohrenschmerz,der,"ear pain, earache",
Öko-,der,"eco-, organic",B1
Oktober,der,October,A1
Öl,das,oil,A1
Oldtimer,der,"vintage car, classic car",
Olive,die,olive,
Oma,die,"granny, grandma",A1
Onkel,der,uncle,A2
Opa,der,"grandpa, grandad, granddad",A1
Oper,die,opera,B1
Operation,die,operation,B1
Opfer,das,"sacrifice, victim",B1
Option,die,option,
Orange,die,orange,A2
Orchester,das,orchestra,B1
Ordner,der,"file, folder, steward, marshal",B1
Ordnung,die,"order, tidiness",A1
Organ,das,organ,
Organisation,die,organization,B1
Organismus,der,organism,
Orientierung,die,orientation,
Original,das,"original, character",B1
Ort,der,"place, town, location, site, spot",A1
Osten,der,east,A1
Ostern,das,Easter,A2
Österreich,das,Austria,
Ostsee,die,the Baltic (Sea),B1
Ozean,der,ocean,B1
Paar,das,"pair, couple",A2
Packung,die,"pack, package, packing, packet, poultice",
Paket,das,"parcel, package, packet",A2
Panik,die,panic,
Panne,die,"breakdown, mishap, glitch, malfunction",B1
Papa,der,"daddy, dad, pop, poppa",
Papier,das,paper,A1
Papiere,die,"(identity) papers, identification",A1
Papiertüte,die,paper bag,
Papst,der,pope,
Paradies,das,paradise,
Parfüm,das,perfume,A2
Park,der,park,A2
Parkett,das,parquet,
Parkplatz,der,"parking, parking place, parking space, parking lot, car park",
Parlament,das,parliament,
Partei,die,(political) party,
Partie,die,"game, area, lot",
Partner,der,"partner, associate",A1
Partnerin,die,partner (female),A1
Partnerschaft,die,partnership,
Party,die,party,A1
Pass,der,"pass, passport",A1
Passagier,der,passenger,B1
Passwort,das,password,A2
Patient,der,patient,B1
Patrone,die,"cartridge, bullet",
Pause,die,"pause, break",A1
Pech,das,"bad luck, pitch, misfortune",B1
Pedal,das,pedal,
Pension,die,"guest house, pension",B1
Perfektion,die,perfection,
Periode,die,period,
Person,die,person,A2
Personal,das,"staff, personnel",B1
Personalie,die,"personal data, personal details",B1
Personenkraftwagen/Pkw,der,"car, passenger car, motor car, auto",
Persönlichkeit,die,"personality, character, celebrity",
Perspektive,die,"perspective, prospect, view",
Pfanne,die,(frying) pan,B1
Pfannkuchen,der,pancake,
Pfarrer,der,"pastor, priest",
Pfeffer,der,pepper,B1
Pfeil,der,arrow,
Pferd,das,horse,A2
Pfingsten,das,"Whitsun, Pentecost",B1
Pflanze,die,plant,A2
Pflaster,das,"plaster, Band-Aid ®, pavement",B1
Pflaume,die,plum,B1
Pflege,die,"care, maintenance, nursing, fostering",
Pfleger,der,nurse (male),B1
Pflegerin,die,nurse,B1
Pflicht,die,"duty, obligation",B1
Pfund,das,"pound, lb, lbs",A1
Pfütze,die,puddle,
Phänomen,das,phenomenon,
Phase,die,phase,
Philosoph,der,philosopher,
Philosophie,die,philosophy,B1
Physik,die,physics,A2
Physiker,der,physicist,
Picknick,das,picnic,B1
Pille,die,pill,B1
Pilot,der,pilot,
Pilz,der,"mushroom, fungus",B1
Pinguin,der,penguin,B1
Pistole,die,"pistol, gun",
Pizza,die,pizza,A2
Plakat,das,poster,A2
Plan,der,"plan, map, schedule",A1
Plane,die,"tarpaulin, tarp",
Planet,der,planet,
Planung,die,"planning, plan",B1
Plastik,das,plastic,B1
Platte,die,"disk, record, plate",
Plattform,die,platform,
Platz,der,"place, space, room, square, seat",A1
Plätzchen,das,"biscuit, cookie, spot",
Plus,das,plus,
Po,der,"butt, buttocks, bum, bottom",
Pokal,der,"cup, trophy, goblet",
Polen,das,Poland,
Politik,die,politics,B1
Politiker,der,politician,B1
Polizei,die,police,A1
Polizist,der,"policeman, police officer, cop",A2
Polnisch,das,Polish,
Pommes frites,die,"chips, fries",A1
Pornografie/Pornographie,die,pornography,
Portal,das,portal,
Portemonnaie,das,"wallet, purse",B1
Portion,die,"portion, serving, helping",A2
Porträt,das,portrait,
Portugal,das,Portugal,
Position,die,"position, location, place, item",
Post,die,"mail, post office",A1
Postbote,der,"postman, mailman, mail carrier",
Posten,der,"post, position, item, guard",
Poster,das,poster,A2
Postfach,das,"mailbox, post office box, PO box, postbox",
Postkarte,die,postcard,A2
Postleitzahl,die,"postcode, postal code, zip code",A1
Poststempel,der,postmark,
Potenzial,das,potential,
Praktikant,der,"intern, trainee",B1
Praktikantin,die,"intern (female), trainee (female)",B1
Praktikum,das,"internship, traineeship, work placement",A1
Präsentation,die,presentation,B1
Präsident,der,"president, chairman",
Praxis,die,"practice, doctor’s office, practical experience",A1
Predigt,die,sermon,
Preis,der,"price, prize, award",A1
Preisgeld,das,prize money,
Premiere,die,"premiere, opening night",
Presse,die,"press, squeezer, squeezing machine",B1
Pressekonferenz,die,press conference,
Priester,der,priest,
Prinz,der,prince,
Prinzessin,die,princess,
Prinzip,das,principle,
Priorität,die,"priority, precedence",
Probe,die,"sample, test, rehearsal, specimen",
Problem,das,problem,A1
Problematik,die,"problematic nature, problem, issue, difficulty",
Produkt,das,product,A2
Produktion,die,production,B1
Produktivität,die,productivity,
Professor,der,professor,B1
Profi,der,"pro, professional, expert",B1
Profil,das,profile,
Profisportler,der,"professional sportsman, professional athlete",B1
Prognose,die,"forecast, prognosis",
Programm,das,programme,A2
Projekt,das,project,A2
Pronomen,das,pronoun,
Prospekt,der,"brochure, leaflet",A1
Prost,das,cheers,B1
Protein,das,protein,
Protest,der,protest,B1
Protokoll,das,"protocol, minutes, log, record",
Provinz,die,"province, provinces",
Prozent,das,"per cent, percent, percentage",A1
Prozess,der,"process, procedure, trial",B1
Prüfer,der,"examiner, inspector, auditor, tester",A2
Prüfung,die,"exam(ination), test, inspection, verification",A1
Psychologe,der,"psychologist, shrink",
Psychologie,die,psychology,
Publikum,das,"public, audience",B1
Pullover,der,"sweater, pullover, jumper, jersey",A2
Punkt,der,"dot, point, period, spot, item",A2
Puppe,die,"doll, puppet",B1
Puzzle,das,"puzzle, jigsaw",
Quadrat,das,square,
"Quadratmeter, m²",der,"square meter, square metre",A1
Qualifikation,die,qualification,B1
Qualität,die,quality,A2
Quartal,das,quarter of the year,
Quatsch,der,"nonsense, rubbish, bullshit",
Quelle,die,"source, spring",
Quittung,die,receipt,B1
Quiz,das,quiz,A2
Rabatt,der,discount,B1
Rad,das,"wheel, bike",B1
Radfahrer,der,"cyclist, biker",B1
Radiergummi,das,"eraser, rubber",
Radio,das,radio,A2
Rahmen,der,"frame, framework",
Rahmenbedingung,die,"basic condition, framework condition",
Rakete,die,"rocket, missile",
Rand,der,"edge, border, margin, side, rim",B1
Rang,der,"rank, standing, status",
Rasen,der,"lawn, grass",B1
Rat,der,"advice, council, counsel",B1
Ratgeber,der,"guide(book), adviser, advisor, counselor, counsellor",
Rathaus,das,town hall,A2
Ratschlag,der,advice,B1
Rätsel,das,"puzzle, mystery, riddle, enigma, conundrum",A2
Ratte,die,rat,
Raub,der,"robbery, heist",
Raubtier,das,predator,
Rauch,der,"smoke, fume",
Raucher,der,smoker,B1
Raum,der,"room, space",A1
Raumklima,das,room climate,
Rauschen,das,"noise, murmur, rushing, rustle, static",
Reaktion,die,reaction,B1
Realisierung,die,"implementation, realisation, realization",
Realität,die,reality,B1
Recherche,die,"research, investigation, enquiry",B1
Rechner,der,"computer, calculator",B1
Rechnung,die,"invoice, bill, calculation",A1
Recht,das,"right, law",B1
Rechteck,das,rectangle,
Recht(s)sprechung,die,jurisdiction,
Rede,die,"speech, talk",B1
Redewendung,die,"phrase, idiom, saying, expression",
Referat,das,"(seminar) paper, presentation, department",B1
Reflexion,die,"reflection, contemplation",
Reform,die,reform,B1
Regal,das,shelf,B1
Regel,die,rule,B1
Regelung,die,"regulation, arrangement, settlement",
Regen,der,rain,A1
Regierung,die,"rule, government",
Regime,das,regime,
Region,die,"region, area",B1
Regisseur,der,"director, producer",
Reich,das,"empire, realm, kingdom",
Reichtum,der,wealth,
Reichweite,die,"reach, range",
Reifen,der,"tyre, tire, hoop",A2
Reihe,die,"row, line, series",A2
Reihenfolge,die,"order, sequence",B1
Reim,der,rhyme,
Reinigung,die,"cleaning, dry cleaner's, laundry, purification, purgation",A2
Reis,der,rice,A1
Reise,die,"journey, trip, voyage",A1
Reisebüro,das,travel agency,A1
Reiseführer,der,"travel guide, guidebook",A1
Reiseziel,das,"destination, holiday destination, travel destination",
Reiz,der,"stimulus, appeal, charm, allure, attraction",
Reklame,die,"advertising, advertisement",B1
Rekord,der,record,B1
Relation,die,"appropriateness, proportion, relation",
Religion,die,religion,A2
Rennen,das,race,
Rente,die,"pension, retirement, annuity",B1
Rentner,der,"pensioner, senior (citizen), retired person",A2
Rentnerin,die,"pensioner (female), senior (female)",A2
Reparatur,die,repair,A1
Reportage,die,report,B1
Reporter,der,reporter,B1
Republik,die,republic,
Reservierung,die,reservation,B1
Respekt,der,respect,B1
Ressource,die,resource,
Rest,der,"rest, remainder, remains, leftover(s)",A2
Restaurant,das,restaurant,A1
Resultat,das,result,
Rettung,die,"rescue, salvation",
Rettungsdienst,der,"rescue service, ambulance service, emergency service",
Revolution,die,revolution,
Rezept,das,"recipe, prescription, remedy, formula",A2
Rezeption,die,"reception, front desk",A1
Rezession,die,recession,
Rhythmus,der,rhythm,
Richter,der,judge,B1
Richtlinie,die,"guideline, directive, policy",
Richtung,die,direction,B1
Riese,der,giant,
Riff,das,reef,
Rind,das,"cow, cattle, beef",A2
Ring,der,ring,A2
Risiko,das,"risk, chance",B1
Rock,der,"skirt, rock (music)",A2
Rohstoff,der,"raw material, resource",
Rolle,die,"roll, role",B1
Roman,der,novel,B1
Rose,die,rose,A2
Rosenkohl,der,(Brussels) sprouts,
Rubrik,die,"category, section, column, heading",
Rücken,der,back,A2
Rückenschmerz,der,"back pain, backache",
Rückfahrt,die,"return journey, return trip, way back",B1
Rückgang,der,"fall, decline, decrease, drop, reduction",
Rückkehr,die,return,B1
Rückmeldung,die,"feedback, response, reply",B1
Rucksack,der,"rucksack, backpack",A2
Rückschlag,der,"setback, blowback",
Rückseite,die,"back, backside, rear, reverse",
Rücksicht,die,"consideration, regard",B1
Rücktritt,der,"resignation, withdrawal, rescission, retirement",
Rückzug,der,"retreat, withdrawal",
Ruf,der,"reputation, call",
Rufnummer,die,(tele)phone number,B1
Ruhe,die,"silence, peace, rest, calm(ness), quietness",A2
Ruhestand,der,retirement,
Ruhestörung,die,"disturbance, breach of the peace, disorderly conduct",
Ruhm,der,"fame, glory",
Runde,die,round,B1
Rundfahrt,die,"(sightseeing) tour, round trip",B1
Rundgang,der,"tour, round, walk",A2
Russe,der,Russian,
Russisch,das,Russian,
Russland,das,Russia,
S-Bahn,die,suburban train,A1
Saal,der,"hall, saloon",B1
Sache,die,"thing, matter, cause",A2
Sachverhalt,der,"facts, issue, situation",
Sack,der,"bag, sack",B1
Saft,der,juice,A1
Sage,die,"legend, saga, myth",
Sahne,die,cream,B1
Saison,die,season,B1
Salat,der,"salad, lettuce",A1
Salbe,die,"ointment, salve",B1
Salon,der,"salon, saloon, lounge, parlor, parlour",B1
Salz,das,salt,A1
Sammlung,die,collection,
Samstag,der,Saturday,A1
Sand,der,sand,B1
Sandale,die,sandal,
Sänger,der,singer,A2
Sanierung,die,"renovation, rehabilitation, remediation, reconstruction",
Sarg,der,"coffin, casket",
Satz,der,"sentence, clause, phrase, set",A1
Sauberkeit,die,"cleanliness, cleanness",
Säugling,der,"baby, infant",
Säule,die,"column, pillar",
Schach,das,chess,
Schachbrett,das,"chessboard, checkerboard",
Schachtel,die,"box, pack, packet",B1
Schaden,der,"damage, harm",B1
Schaf,das,sheep,B1
Schaffner,der,conductor,
Schal,der,scarf,
Schale,die,"shell, bowl, dish, skin",
Schallplatte,die,"record, vinyl",
Schalter,der,"counter, switch",A1
Schande,die,"shame, disgrace",
Schatten,der,"shadow, shade",B1
Schatz,der,"treasure, sweetheart, darling",
Schätzung,die,"estimate, estimation, valuation",
Schauer,der,"shower, shiver, chill, shudder",
Schaufel,die,"shovel, scoop",
Schaufenster,das,"shop window, display window",B1
Schaum,der,"foam, froth",
Schauspieler,der,actor,A2
Schauspielerin,die,actress,A2
Scheibe,die,"disc, slice, pane",B1
Scheidung,die,divorce,B1
Schein,der,"light, appearance, bill, banknote, certificate",B1
Scheitern,das,failure,
Scherbe,die,shard,
Schere,die,"scissors, shears, claw, pincer",A2
Schicht,die,"layer, class",
Schicksal,das,"fate, destiny",
Schiene,die,"rail, track, splint",
Schiff,das,ship,A2
Schild,das,sign,A1
Schildkröte,die,"turtle, tortoise",B1
Schinken,der,"ham, bacon",A1
Schirm,der,"umbrella, sunshade, shade, (TV) screen",A2
Schlacht,die,battle,
Schlaf,der,sleep,B1
Schlafzimmer,das,bedroom,A2
Schlag,der,"blow, beat, stroke, punch",
Schlägerei,die,"fight, brawl",
Schlagzeile,die,headline,
Schlange,die,"snake, serpent, line, queue",B1
Schleife,die,"loop, bow",
Schließfach,das,"locker, safe-deposit box",
Schließung,die,"closure, closing, close",
Schloss,das,"lock, castle",A2
Schluck,der,"swallow, gulp, mouthful, sip",
Schluckauf,der,"hiccup, hiccough",
Schluss,der,"end, conclusion, closing, finish",A1
Schlüssel,der,key,A1
Schmerz,der,"pain, ache, hurt",A2
Schmerzmittel,das,"painkiller, pain-reliever, analgesic",B1
Schmetterling,der,butterfly,
Schminke,die,make-up,
Schmuck,der,"jewellery, jewelry",B1
Schmutz,der,"dirt, filth, grime, mud",B1
Schnecke,die,snail,
Schnee,der,snow,A2
Schnitt,der,"cut, editing",
Schnitzel,das,"schnitzel, cutlet",B1
Schnupfen,der,"(head) cold, common cold, runny nose, sniffles",B1
Schnürsenkel,der,"lace, shoelace, shoestring",
Schokolade,die,chocolate,A2
Schönheit,die,beauty,
Schote,die,pod,
Schrank,der,"cabinet, cupboard, closet, wardrobe",A1
Schreck,der,"fright, scare, shock, fear",B1
Schrei,der,"cry, scream, shout, yell",
Schreiben,das,"letter, writing",B1
Schreibtisch,der,desk,
Schrift,die,"script, writing, font",B1
Schriftsteller,der,"writer, author",B1
Schriftzeichen,das,character,
Schritt,der,step,B1
Schuh,der,shoe,A1
Schularbeit,die,"(class) test, homework",B1
Schuld,die,"guilt, debt, fault",B1
Schulden,die,"debt, debts, liabilities",B1
Schule,die,school,A1
Schüler,der,"pupil, student",A1
Schülerin,die,"student (female), schoolgirl",A1
Schulter,die,shoulder,B1
Schuss,der,shot,
Schüssel,die,"bowl, dish",B1
Schusswaffe,die,"firearm, gun",
Schutz,der,"protection, shelter, cover",B1
Schütze,der,"scorer, marksman, Sagittarius",
Schwäche,die,"weakness, soft spot",
Schwager,der,brother-in-law,
Schwägerin,die,sister-in-law,
Schwan,der,swan,
Schwangere,die,"pregnant woman, expectant mother",
Schwangerschaft,die,pregnancy,B1
Schwangerschaftstest,der,pregnancy test,
Schweden,das,Sweden,
Schweigen,das,"silence, hush",B1
Schwein,das,"pig, pork",A2
Schweiß,der,"sweat, perspiration",
Schweiz,die,Switzerland,
Schwerpunkt,der,"emphasis, focus, center of gravity",
Schwester,die,sister,A1
Schwiegereltern,die,parents-in-law,B1
Schwiegermutter,die,mother-in-law,B1
Schwiegersohn,der,son-in-law,B1
Schwiegertochter,die,daughter-in-law,B1
Schwiegervater,der,father-in-law,B1
Schwierigkeit,die,difficulty,B1
Schwimmbad,das,"pool, schwimming pool, schwimming bath",A1
See,der,lake,A1
See,die,sea,A2
Seele,die,"soul, mind",
Sehenswürdigkeit,die,"sight, attraction, point of interest, place of interest",A1
Sehnsucht,die,"longing, desire, yearning",
Seide,die,silk,
Seife,die,soap,A2
Seil,das,"rope, cable",
Seite,die,"side, page",A2
Sekretariat,das,"secretariat, office, secretary's office, administration",A2
Sekretärin,die,secretary,B1
Sekt,der,sparkling wine,
Sektor,der,"sector, field",
Sekunde,die,second,A1
Selbstbewusstsein,das,self-confidence,
Selbstmord,der,suicide,
Selb(st)ständigkeit,die,"independence, self-employment",
Semester,das,"semester, term",B1
Seminar,das,"seminar, workshop",B1
Semmel,die,"roll, bun",B1
Senat,der,senate,
Sender,der,"transmitter, sender, station, channel",B1
Sendung,die,"shipment, transmission, broadcast, programme, program",A2
Senf,der,mustard,
Senior,der,senior citizen,B1
September,der,September,A1
Serie,die,series,B1
Service,der,service,A2
Sessel,der,"chair, armchair",B1
Show,die,show,
Sicherheit,die,"security, safety, certainty",B1
Sicherung,die,"protection, fuse, securing, backup",
Sicht,die,"view, point of view, perspective, visibility, sight",
Siedlung,die,"settlement, housing estate",
Sieg,der,"victory, win",B1
Sieger,der,"winner, victor",B1
Signal,das,signal,
Silber,das,silver,
Silvester,das,New Year's Eve,A2
Single,der,single,
Sinn,der,"sense, meaning, purpose, mind",B1
Situation,die,situation,B1
Sitz,der,"seat, fit, headquarters, head office",B1
Sitzung,die,"meeting, session",
Skala,die,"scale, dial, range",
Skandal,der,scandal,
Skandinavien,das,Scandinavia,
Sketch,der,"sketch, skit",
Ski,der,ski,A2
Skorpion,der,"scorpion, Scorpio",
Socke,die,sock,B1
Sofa,das,"sofa, couch",A1
Software,die,software,
Sohn,der,son,A1
Soldat,der,soldier,
Solidarität,die,solidarity,
Sommer,der,summer,A1
Sommersprosse,die,freckle,
Sonderangebot,das,"special offer, bargain",B1
Sonderpreis,der,special [reduced] price,B1
Sonnabend,der,Saturday,A1
Sonne,die,sun,A1
Sonnenaufgang,der,sunrise,
Sonnenbrille,die,sunglasses,
Sonnenschein,der,sunshine,
Sonnenuntergang,der,sunset,
Sonntag,der,Sunday,A1
Sorge,die,"worry, concern",B1
Sorte,die,"variety, sort, type, kind, flavour, flavor",
"Soße, Sauce",die,"sauce, gravy, dressing, dip",B1
Souvenir,das,souvenir,B1
Sozialarbeiter,der,social worker,B1
Sozialdemokrat,der,Social Democrat,
Sozialkunde,die,"social science, social studies",A2
Spalte,die,"fissure, crevice, cleft, column",
Spanien,das,Spain,
Spanisch,das,Spanish,
Spannung,die,"suspense, tension",
Spargel,der,asparagus,
Sparschwein,das,piggy bank,
Spaß,der,"fun, joke",A2
Spaziergang,der,"walk, stroll",A2
Speise,die,"meal, food, dish",B1
Speisekarte,die,menu,A1
Speisewagen,der,"dining car, diner, buffet car, restaurant car",B1
Spektrum,das,spectrum,
Spende,die,donation,
